infinitiv,prateritum,perfekt,duForm
befehlen,befahl,habe befohlen,befiehlst
beissen,biss,habe gebissen,beisst
belügen,belog,habe belogen,belügst
biegen,bog,habe gebogen,biegst
binden,band,habe gebunden,bindest
bitten,bat,habe gebeten,bittest
blasen,blies,habe geblasen,bläst
bleiben,blieb,bin geblieben,bleibst
brechen,brach,habe gebrochen,brichst
brennen,brannte,habe gebrannt,brennst
bringen,brachte,habe gebracht,bringst
denken,dachte,habe gedacht,denkst
dürfen,durfte,habe gedurft,darfst
essen,ass,habe gegessen,isst
fahren,fuhr,bin gefahren,fährst
fallen,fiel,bin gefallen,fällst
fangen,fing,habe gefangen,fängst
finden,fand,habe gefunden,findest
fliegen,flog,bin geflogen,fliegst
fliehen,floh,bin geflohen,fliehst
fliessen,floss,bin geflossen,fliesst
fressen,frass,habe gefressen,frisst
frieren,fror,habe gefroren,frierst
geben,gab,habe gegeben,gibst
gehen,ging,bin gegangen,gehst
geschehen,geschah,ist geschehen,geschieht
gewinnen,gewann,habe gewonnen,gewinnst
giessen,goss,habe gegossen,giesst
graben,grub,habe gegraben,gräbst
greifen,griff,habe gegriffen,greifst
haben,hatte,habe gehabt,hast
halten,hielt,habe gehalten,hältst
hauen,haute,habe gehauen,haust
heissen,hiess,habe geheissen,heisst
helfen,half,habe geholfen,hilfst
kennen,kannte,habe gekannt,kennst
klingen,klang,habe geklungen,klingst
kommen,kam,bin gekommen,kommst
können,konnte,habe gekonnt,kannst
kriechen,kroch,bin gekrochen,kriechst
lassen,liess,habe gelassen,lässt
laufen,lief,bin gelaufen,läufst
lesen,las,habe gelesen,liest
liegen,lag,bin/habe  gelegen,liegst
lügen,log,habe gelogen,lügst
messen,mass,habe gemessen,misst
mögen,mochte,habe gemocht,magst
müssen,musste,habe gemusst,musst
nehmen,nahm,habe genommen,nimmst
pfeifen,pfiff,habe gepfiffen,pfeifst
raten,riet,habe geraten,rätst
reissen,riss,habe gerissen,reisst
reiten,ritt,bin geritten,reitest
rennen,rannte,bin gerannt,rennst
riechen,roch,habe gerochen,riechst
rufen,rief,habe gerufen,rufst
schieben,schob,habe geschoben,schiebst
schiessen,schoss,habe geschossen,schiesst
schlafen,schlief,habe geschlafen,schläfst
schlagen,schlug,habe geschlagen,schlägst
schleichen,schich,bin geschlichen,schleichst
schliessen,schloss,habe geschlossen,schliesst
schneiden,schnitt,habe geschnitten,schneidest
schreiben,schrieb,habe geschrieben,schreibst
schreien,schrie,habe geschrien,schreist
schweigen,schwieg,habe geschwiegen,schweigst
schwimmen,schwamm,bin geschwommen,schwimmst
schwören,schwor,habe geschworen,schwörst
sehen,sah,habe gesehen,siehst
sein,war,bin gewesen,bist
singen,sang,habe gesungen,singst
sinken,sank,bin gesunken,sinkst
sitzen,sass,bin/habe gesessen,sitzt
sprechen,sprach,habe gesprochen,sprichst
springen,sprang,bin gesprungen,springst
stechen,stach,habe gestochen,stichst
stehen,stand,bin/habe gestanden,stehst
stehlen,stahl,habe gestohlen,stiehlst
steigen,stieg,bin gestiegen,steigst
sterben,starb,bin gestorben,stirbst
stinken,stank,habe gestunken,stinkst
stossen,stiess,habe gestossen,stösst
streichen,strich,habe gestrichen,streichst
streiten,stritt,habe gestritten,streitest
tragen,trug,habe getragen,trägst
treffen,traf,habe getroffen,triffst
trinken,trank,habe getrunken,trinkst
tun,tat,habe getan,tust
vergessen,vergass,habe vergessen,vergisst
verlieren,verlor,habe verloren,verlierst
verzeihen,verzieh,habe verziehen,verzeihst
wachsen,wuchs,bin gewachsen,wächst
waschen,wusch,habe gewaschen,wäschst
werden,wurde,bin geworden,wirst
werfen,warf,habe geworfen,wirfst
wissen,wusste,habe gewusst,weisst
ziehen,zog,habe gezogen,ziehst
erschrecken,erschrak/erschreckte,bin erschrocken/habe erschreckt,erschrickst/erschreckst
hängen,hing/hängte,bin gehangen/habe gehängt,hängst
wägen,wog,habe gewogen,wägst
wiegen,wog,habe gewogen,wiegst
